Image,Frequency_Preservation,Frequency_Error
000189,0.8435880406184744,0.1564119593815257
000190,0.8848596439267064,0.1151403560732936
000191,0.900915121906016,0.09908487809398399
000192,1.0,1.9445155200590334
000193,1.0,0.0698894911316638
000194,0.9904787012750321,0.00952129872496787
000195,0.9641848649895368,0.03581513501046314
000196,1.0,0.22518534349540037
000197,1.0,2.079727070320707
000198,1.0,2.837692636127167
000199,1.0,3.1650569129487325
000200,1.0,0.43732690115381523
000201,1.0,12.76531118437376
000202,1.0,14.753865890445333
000203,1.0,10.15878614292216
000204,1.0,0.04589507325602387
000205,0.8941122794860372,0.10588772051396275
000206,0.8692305739348926,0.1307694260651075
000207,0.7884243621473275,0.2115756378526725
000208,1.0,7.734166985540835
000209,1.0,14.850656811595753
000210,1.0,12.078224061512874
000211,1.0,5.063596000040309
000212,1.0,0.25032537372949093
000213,1.0,14.68561270145418
000214,1.0,22.690439188967435
000215,1.0,13.979836068530384
000216,0.8572400181520554,0.14275998184794456
000217,1.0,0.8759893768176436
000218,1.0,2.5056985226922617
000219,1.0,2.0202799429206224
000220,1.0,5.389351647804823
000221,1.0,0.05459014497432315
000222,1.0,0.014255595543336068
000223,0.8491172902782979,0.15088270972170212
000224,1.0,0.14940687361943905
000225,0.8696710705566325,0.1303289294433675
000226,0.8652624406371002,0.13473755936289983
000227,1.0,0.07602856837829383
000228,0.5904588932951342,0.4095411067048657
000229,0.8856919859114313,0.11430801408856875
000230,0.9573892621461938,0.04261073785380623
000231,1.0,0.0001901961906443197
000232,0.6267375688606587,0.3732624311393414
000233,0.6298913471409068,0.3701086528590932
000234,0.6351461631565601,0.36485383684343986
000235,0.6220059117240447,0.37799408827595526
000236,1.0,1.4196454622205634
000237,1.0,0.532517435849436
000238,1.0,0.8894586994295731
000239,1.0,0.7809237298218326
000240,0.9127971991229318,0.0872028008770682
000241,1.0,40.107195872436094
000242,1.0,24.299909793241437
000243,1.0,29.70147173769394
000244,0.7017876808581345,0.2982123191418655
000245,1.0,2.4758930513568345
000246,1.0,1.0485335127012172
000247,1.0,1.516083731666487
000248,1.0,0.6134048720441546
000249,0.6297780841570116,0.37022191584298836
000250,0.6087256704631812,0.39127432953681884
000251,0.6092566573312093,0.3907433426687907
000252,1.0,1.8094636853535733
000253,1.0,3.3919236021263033
000254,1.0,2.402335630835008
000255,1.0,2.985535471006065
000256,1.0,0.1522456633469534
000257,0.8520392943989401,0.14796070560105984
000258,0.7588638984968875,0.2411361015031125
000259,0.7240629623690317,0.27593703763096833
000260,0.8879338602687802,0.11206613973121984
000261,1.0,0.29221158324484536
000262,1.0,0.1462065661121778
000263,1.0,0.34333602219720044
000264,1.0,0.004623420129950547
000265,1.0,0.7749883243853616
000266,1.0,0.8471217424836854
000267,1.0,1.3763653985420705
000268,1.0,19.011347868295193
000269,0.6248351226009434,0.3751648773990566
000270,0.6033184873343755,0.3966815126656245
000271,0.6329978014981774,0.3670021985018226
000272,0.7974016210160783,0.20259837898392172
000273,1.0,0.4817801823516657
000274,1.0,0.6808099011189626
000275,1.0,0.1451358598630286
000276,1.0,8.678893785371388
000277,1.0,1.6933134274492938
000278,1.0,2.3327372000910733
000279,1.0,2.881148916333172
000280,0.888626073361532,0.11137392663846797
000281,1.0,0.13507786050521198
000282,1.0,0.3785481415312569
000283,1.0,0.02772008443610673
000284,0.9558842981565517,0.04411570184344824
000285,1.0,0.17971162714027022
000286,1.0,0.327311517485898
000287,1.0,0.5569225171293422
000288,1.0,1.2648690044201347
000289,1.0,0.0795560258886169
000290,0.8180750833434935,0.18192491665650645
000291,0.8039083536810233,0.19609164631897666
000292,0.9707800312380248,0.029219968761975208
000293,1.0,0.47221520217971075
000294,1.0,0.9950400038324132
000295,1.0,1.0340323466697587
000296,0.8341385125096642,0.1658614874903358
000297,1.0,0.08219107793421238
000298,1.0,0.10360646290504767
000299,0.8473763400154929,0.15262365998450714
000300,0.4181910784091244,0.5818089215908756
000301,1.0,0.09223017805127111
000302,1.0,0.20380722476805346
000303,1.0,0.4374292384201805
000304,1.0,0.35988223835116606
000305,1.0,2.512823491385723
000306,1.0,2.7871101752102763
000307,1.0,1.7467360360875466
000308,1.0,17.62224057733502
000309,1.0,0.791809231679178
000310,1.0,0.4360081320998324
000311,1.0,0.6729714135474303
000312,0.8944098123132079,0.10559018768679203
000313,1.0,31.66058222255439
000314,1.0,17.94622079776256
000315,1.0,33.31012346150194
000316,1.0,11.213102400990973
000317,1.0,0.8320115245001491
000318,1.0,0.5537771258515016
000319,1.0,0.14998659772442163
000320,0.95661036823633,0.043389631763669945
000321,1.0,0.23264361754909563
000322,1.0,0.3188994954881384
000323,1.0,0.3973308559641396
000324,0.9512270919996965,0.04877290800030359
000325,1.0,0.04081819181160456
000326,0.9429057971339533,0.05709420286604669
000327,1.0,0.0008141434881754521
000328,1.0,13.74238208722233
000329,0.9518627211550007,0.048137278844999354
000330,0.9146987000279162,0.0853012999720838
000331,0.9445359196197883,0.05546408038021169
000332,1.0,1.5170383555137377
000333,1.0,0.09307328980675332
000334,0.9865987744952242,0.013401225504775838
000335,1.0,0.02831172842568422
000336,1.0,2.010963344173745
000337,1.0,7.600833293405389
000338,1.0,7.007861616128205
000339,1.0,6.3239996569762456
000340,1.0,1.9889855439900583
000341,1.0,4.9632385316898215
000342,1.0,7.526701568162525
000343,1.0,8.391280253245485
000344,1.0,1.2978106017774096
000345,1.0,1.081486696067334
000346,1.0,0.9085723130270871
000347,1.0,1.0658605596121888
000348,1.0,0.27116170922460636
000349,1.0,0.3257122402768712
000350,1.0,0.10220097178461089
000351,0.9215154757117031,0.07848452428829687
000352,0.37658324854961966,0.6234167514503803
000353,0.40155597822225253,0.5984440217777475
000354,0.4209626932746291,0.5790373067253709
000355,0.3935296699638247,0.6064703300361752
000356,1.0,0.1035899526023026
000357,0.9406910981965443,0.05930890180345573
000358,0.9442683775645168,0.05573162243548322
000359,0.9250243823411645,0.07497561765883556
000360,0.9548645472166551,0.04513545278334491
000361,1.0,0.48490173725682145
