Image,PSNR,SSIM,MAE,MSE,Edge_Error,Edge_Preservation
000126,24.91503628352494,0.796114967107893,0.03728054091334343,0.003224752377718687,0.054281555116176605,0.9457184672355652
000127,24.457093048310416,0.7831519436361379,0.038576144725084305,0.003583362093195319,0.05729914829134941,0.9427008628845215
000128,21.747875836733396,0.24175100476967232,0.06297030299901962,0.006686708889901638,0.1554570496082306,0.8445429801940918
000129,21.920771523579997,0.7504257751628365,0.06128238886594772,0.006425735540688038,0.08769989013671875,0.9123001098632812
000130,22.686930606144227,0.7881415478566457,0.055754609405994415,0.005386503413319588,0.08254967629909515,0.9174503087997437
000131,22.95460187490784,0.7980667563985437,0.05387072265148163,0.00506453774869442,0.07840326428413391,0.9215967655181885
000132,20.906668645957282,0.19727435929224493,0.07187114655971527,0.00811583362519741,0.1501249521970749,0.8498750329017639
000133,20.221769208781737,0.4415498486569284,0.07692015171051025,0.009502176195383072,0.139393150806427,0.860606849193573
000134,24.322614201898276,0.5119547261536522,0.0409960076212883,0.003696056315675378,0.058725908398628235,0.941274106502533
000135,19.913598037770512,0.44139795625034167,0.07959140837192535,0.010200940072536469,0.13716791570186615,0.8628320693969727
000136,25.92081803989773,0.8026952020926429,0.030896253883838654,0.002558103995397687,0.048948243260383606,0.9510517716407776
