Image,LPIPS
000488,0.1747477948665619
000489,0.1861298829317093
000490,0.20182467997074127
000491,0.20956562459468842
000492,0.19575175642967224
000493,0.9048362970352173
000494,0.9608215689659119
000495,0.9778010845184326
000496,0.22941645979881287
000497,0.2630593180656433
000498,0.25537005066871643
000499,0.26187413930892944
000500,0.5646538734436035
000501,0.33400505781173706
000502,0.39987829327583313
000503,0.3830074071884155
000504,0.1400066465139389
000505,0.1611832231283188
000506,0.18739351630210876
000507,0.1772630661725998
000508,0.10756396502256393
000509,0.25509747862815857
000510,0.24363353848457336
000511,0.27566367387771606
000512,0.19648520648479462
000513,0.26663967967033386
000514,0.2873791456222534
000515,0.2727598547935486
000516,0.5582960247993469
000517,0.41650763154029846
000518,0.4870619773864746
000519,0.4567253589630127
000520,0.2990625202655792
000521,0.43435221910476685
000522,0.49349120259284973
000523,0.43032845854759216
000524,0.20621398091316223
000525,0.5152847766876221
000526,0.6927682757377625
000527,0.6587607860565186
000528,0.4176549017429352
000529,0.27005600929260254
000530,0.2953059673309326
000531,0.3373274803161621
000532,0.26288965344429016
000533,0.29355505108833313
000534,0.2974775433540344
000535,0.29792192578315735
000536,0.13872841000556946
000537,0.20576348900794983
000538,0.21217083930969238
000539,0.2092529833316803
000540,0.565970242023468
000541,0.41404345631599426
000542,0.4391673505306244
000543,0.40107622742652893
000544,0.2634671926498413
000545,0.07312505692243576
000546,0.07260750234127045
000547,0.07674877345561981
000548,0.18260528147220612
000549,0.037951599806547165
000550,0.036645375192165375
000551,0.038917940109968185
000552,0.17933037877082825
000553,0.22256609797477722
000554,0.24693070352077484
000555,0.24569955468177795
000556,0.12375922501087189
000557,0.09581703692674637
000558,0.07941379398107529
000559,0.09020174294710159
000560,0.16285797953605652
000561,0.433645635843277
000562,0.44797593355178833
000563,0.4682426452636719
000564,0.32424676418304443
000565,0.48324599862098694
000566,0.47287994623184204
000567,0.5729750990867615
000568,0.2717108130455017
000569,0.28466445207595825
000570,0.2650989294052124
000571,0.28027334809303284
000572,0.3103139400482178
000573,0.17812490463256836
000574,0.11069384217262268
000575,0.13858625292778015
000576,0.1325320154428482
000577,0.1652560532093048
000578,0.2028510719537735
000579,0.18114522099494934
000580,0.5007107853889465
000581,0.13997279107570648
000582,0.15651485323905945
000583,0.15993814170360565
000584,0.6975650191307068
000585,0.7722058296203613
000586,0.7607091665267944
000587,0.7830121517181396
000588,0.18239420652389526
000589,0.4829332232475281
000590,0.4692828059196472
000591,0.5042195320129395
000592,0.16742831468582153
000593,0.2986393868923187
000594,0.253112256526947
000595,0.3372868597507477
000596,0.1261005997657776
000597,0.4682106375694275
000598,0.42630472779273987
000599,0.3758561909198761
000600,0.13649092614650726
000601,0.13398778438568115
000602,0.1253441721200943
000603,0.1814868152141571
000604,0.12080708891153336
000605,0.11481063812971115
000606,0.11903533339500427
000607,0.10525940358638763
000608,0.2731921970844269
000609,0.4928290545940399
000610,0.4938669800758362
000611,0.5365399122238159
000612,0.17108869552612305
000613,0.2206917405128479
000614,0.26946088671684265
000615,0.2792411148548126
000616,0.11676418781280518
000617,0.3461814224720001
000618,0.39344167709350586
000619,0.37823453545570374
000620,0.3917748034000397
000621,0.44907787442207336
000622,0.45985931158065796
000623,0.4451311230659485
000624,0.1348022073507309
000625,0.6857511401176453
000626,0.6650691628456116
000627,0.7001225352287292
000628,0.15942013263702393
000629,0.9617921113967896
000630,0.9290981888771057
000631,0.9553025960922241
000632,0.30183231830596924
000633,0.2487798035144806
000634,0.30167824029922485
000635,0.2405000925064087
000636,0.1961721032857895
000637,0.3517332673072815
000638,0.3317985534667969
000639,0.3099459409713745
000640,0.3091142177581787
000641,0.9638408422470093
000642,1.049822211265564
000643,0.30986836552619934
000644,0.49466472864151
000645,0.34430739283561707
000646,0.3855433762073517
000647,0.34900081157684326
000648,0.2548013925552368
000649,0.17075912654399872
000650,0.17494653165340424
000651,0.17298255860805511
000652,0.22784505784511566
000653,0.2623770833015442
000654,0.25504255294799805
000655,0.2581026256084442
000656,0.21641552448272705
000657,0.19818252325057983
000658,0.19484303891658783
000659,0.17141705751419067
000660,0.11004190146923065
000661,0.4680696725845337
000662,0.443189412355423
000663,0.4878937005996704
000664,0.33615484833717346
000665,0.6639108061790466
000666,0.061584074050188065
000667,0.04251217469573021
000668,0.15473011136054993
000669,0.3995388150215149
000670,0.40502268075942993
000671,0.34746286273002625
000672,0.058605801314115524
000673,0.05175723508000374
000674,0.05123420059680939
000675,0.04970595985651016
000676,0.13778389990329742
000677,0.12923380732536316
000678,0.13457463681697845
000679,0.13058440387248993
000680,0.08476930111646652
000681,0.09042510390281677
000682,0.08276687562465668
000683,0.08051610738039017
000684,0.16050605475902557
000685,0.22942408919334412
000686,0.2309703230857849
000687,0.2591581642627716
000688,0.22377806901931763
000689,0.1252395659685135
000690,0.11278616636991501
000691,0.11774047464132309
000692,0.09227098524570465
000693,0.15706269443035126
000694,0.14780132472515106
000695,0.1181151419878006
000696,0.7279675602912903
000697,0.2925429046154022
000698,0.27813294529914856
000699,0.26843971014022827
000700,0.2187749743461609
000701,0.6147724390029907
000702,0.6562497615814209
000703,0.6043388247489929
000704,0.4184999465942383
000705,1.00079345703125
000706,1.0221275091171265
000707,0.9337507486343384
000708,0.09686416387557983
000709,0.08231674134731293
000710,0.07443084567785263
000711,0.07587592303752899
000712,0.2501523494720459
000713,0.2567991614341736
000714,0.24690131843090057
000715,0.2500518262386322
000716,0.2797583043575287
000717,0.23012618720531464
000718,0.22476670145988464
000719,0.22778308391571045
000720,0.21498052775859833
000721,0.07788717746734619
000722,0.06184547021985054
000723,0.053002938628196716
000724,0.3924245238304138
000725,0.27697858214378357
